Année RAP;Type de Budget (Hors Budgets annexes);Code Ministère au 1er janvier 2017;Ministère au 1er janvier 2017;Code Programme;Programme;Code Action;Action;T1 EXEC AE 2017;T2 EXEC AE 2017;T3 EXEC AE 2017;T4 EXEC AE 2017;T5 EXEC AE 2017;T6 EXEC AE 2017;T7 EXEC AE 2017
2017;Budget général;MIN01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;01;Coordination de l'action diplomatique;;64 423 425;16 443 780;;;2 988 710;
2017;Budget général;MIN01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;02;Action européenne;;6 465 753;9 304;;;41 022 683;
2017;Budget général;MIN01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;04;Contributions internationales;;;;;;679 835 628;
2017;Budget général;MIN01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;05;Coopération de sécurité et de défense;;60 413 616;5 164 438;;12 800;20 539 534;
2017;Budget général;MIN01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;06;Soutien;;118 135 762;115 182 115;;5 364 761;133 101;
2017;Budget général;MIN01;Affaires étrangères et développement international;105;Action de la France en Europe et dans le monde;07;Réseau diplomatique;;392 433 449;211 450 238;;48 944 936;427 618;238 665
2017;Budget général;MIN01;Affaires étrangères et développement international;151;Français à l'étranger et affaires consulaires;01;Offre d'un service public de qualité aux Français à l'étranger;;181 314 075;21 573 546;;;15 581 685;
2017;Budget général;MIN01;Affaires étrangères et développement international;151;Français à l'étranger et affaires consulaires;02;Accès des élèves français au réseau AEFE;;;;;;99 200 000;
2017;Budget général;MIN01;Affaires étrangères et développement international;151;Français à l'étranger et affaires consulaires;03;Instruction des demandes de visa;;53 663 628;191 197;;;;
2017;Budget général;MIN01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;01;Appui au réseau;;;42 647 380;;;2 787 804;374
2017;Budget général;MIN01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;02;Coopération culturelle et promotion du français;;;29 551 450;;;41 201 876;
2017;Budget général;MIN01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;03;Objectifs de développement durable;;;9 859;;;2 766 477;
2017;Budget général;MIN01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;04;Enseignement supérieur et recherche;;;8 723 406;;;82 105 442;
2017;Budget général;MIN01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;05;Agence pour l'enseignement français à l'étranger;;;354 476 372;;;1 325 376;
2017;Budget général;MIN01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;06;"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""";;74 271 381;;;;;
2017;Budget général;MIN01;Affaires étrangères et développement international;185;Diplomatie culturelle et d'influence;07;Diplomatie économique et développement du tourisme;;;31 128 982;;;134 879;100 000
2017;Budget général;MIN01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;02;Coopération bilatérale;;1 823;27 251 279;;;428 886 568;
2017;Budget général;MIN01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;05;Coopération multilatérale;;771;561 096;;;150 605 235;
2017;Budget général;MIN01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;07;Coopération communautaire;;;;;;742 450 744;
2017;Budget général;MIN01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;08;"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement""";;177 139 096;776;;;534 345;
2017;Budget général;MIN01;Affaires étrangères et développement international;209;Solidarité à l'égard des pays en développement;09;Actions de co-développement;;123 811;1 470;;;1 499 043;
2017;Budget général;MIN02;Culture et communication;131;Création;01;Soutien à la création, à la production et à la diffusion du spectacle vivant;;;281 238 986;;1 692 810;394 441 655;23 983 420
2017;Budget général;MIN02;Culture et communication;131;Création;02;Soutien à la création, à la production et à la diffusion des arts plastiques;;;17 224 932;;13 802 344;43 800 031;4 303 608
2017;Budget général;MIN02;Culture et communication;175;Patrimoines;01;Patrimoine monumental;;;43 100 882;;84 944 441;134 114 764;64 329 279
2017;Budget général;MIN02;Culture et communication;175;Patrimoines;02;Architecture;;;21 486 726;;-541 620;8 720 350;630 488
2017;Budget général;MIN02;Culture et communication;175;Patrimoines;03;Patrimoine des musées de France;;;280 913 239;;10 220 348;27 086 645;43 579 976
2017;Budget général;MIN02;Culture et communication;175;Patrimoines;04;Patrimoine archivistique et célébrations nationales;;;15 974 061;;24 062 491;4 658 321;
2017;Budget général;MIN02;Culture et communication;175;Patrimoines;07;Patrimoine linguistique;;;10 721;;;3 311 514;
2017;Budget général;MIN02;Culture et communication;175;Patrimoines;08;Acquisition et enrichissement des collections publiques;;;47 976;;2 250 486;2 929 305;3 673 270
2017;Budget général;MIN02;Culture et communication;175;Patrimoines;09;Patrimoine archéologique;;;83 910 477;;1 419 043;52 727 192;17 925 550
2017;Budget général;MIN02;Culture et communication;180;Presse et médias;01;Relations financières avec l'AFP;;;21 655 380;;;117 820 859;
2017;Budget général;MIN02;Culture et communication;180;Presse et médias;02;Aides à la presse;;;227 275;;;108 105 583;-5 724
2017;Budget général;MIN02;Culture et communication;180;Presse et médias;05;Soutien aux médias de proximité;;;;;;1 583 700;
2017;Budget général;MIN02;Culture et communication;180;Presse et médias;06;Soutien à l'expression radiophonique locale;;;7 402;;;30 545 548;
2017;Budget général;MIN02;Culture et communication;180;Presse et médias;07;Compagnie internationale de radio et télévision (CIRT);;;;;;1 666 500;
2017;Budget général;MIN02;Culture et communication;186;Recherche culturelle et culture scientifique;01;Recherche culturelle;;;5 701 601;;821 887;4 274 086;
2017;Budget général;MIN02;Culture et communication;186;Recherche culturelle et culture scientifique;03;Culture scientifique et technique;;;94 750 666;;;;6 364 715
2017;Budget général;MIN02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;01;Soutien aux établissements d'enseignement supérieur et insertion professionnelle;;;143 866 813;;2 917 371;77 400 960;23 802 976
2017;Budget général;MIN02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;02;Soutien à la démocratisation et à l'éducation artistique et culturelle;;;2 284 462;;0;107 231 302;0
2017;Budget général;MIN02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;06;Action culturelle internationale;;;449 956;;;5 346 744;
2017;Budget général;MIN02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;07;Fonctions de soutien du ministère;;696 773 637;87 536 014;;37 040 335;285 667;940 000
2017;Budget général;MIN02;Culture et communication;224;Transmission des savoirs et démocratisation de la culture;08;Fonds pour l'emploi pérenne dans le spectacle;;;;;;10 170 000;
2017;Budget général;MIN02;Culture et communication;334;Livre et industries culturelles;01;Livre et lecture;;;197 109 360;;8 714 103;23 136 364;26 367 680
2017;Budget général;MIN02;Culture et communication;334;Livre et industries culturelles;02;Industries culturelles;;;6 508 510;;;14 984 112;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;142;Enseignement supérieur et recherche agricoles;01;Enseignement supérieur;;208 408 444;34 692 350;;;38 733 140;14 832 655
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;142;Enseignement supérieur et recherche agricoles;02;Recherche, développement et transfert de technologie;;1 611 749;27 877 408;;;4 047 806;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;01;Mise en oeuvre de l'enseignement dans les établissements publics;;696 383 390;1 922 677;;;36 682 401;310 000
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;02;Mise en oeuvre des enseignements dans les établissements privés;;208 103 172;211 086;;;365 383 815;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;03;Aide sociale aux élèves (enseignement public et privé);;;341 285;;;78 509 291;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;04;Évolution des compétences et dynamique territoriale;;;1 283 979;;;2 173 081;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;143;Enseignement technique agricole;05;Moyens communs à l'enseignement technique agricole, public et privé;;;5 039 420;;;64 957;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;21;Adaptation des filières à l'évolution des marchés;;;4 032 142;;;224 662 777;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;22;Gestion des crises et des aléas de la production agricole;;;9 280 623;;;134 842 674;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;23;Appui au renouvellement et à la modernisation des exploitations agricoles;;;97 457;;;127 730 352;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;24;Gestion équilibrée et durable des territoires;;;1 712 405;;191 097;594 736 244;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;25;Protection sociale;;;126 415;;;988 132 206;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;26;Gestion durable de la forêt et développement de la filière bois;;;192 248 798;;1 297 611;51 134 987;1 115 274
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;27;Moyens de mise en oeuvre des politiques publiques et gestion des interventions;;;979 368 384;;;7 631 842;10 431 490
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;01;Prévention et gestion des risques inhérents à la production végétale;;;11 195 257;;220 045;17 915 868;23 000
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;02;Lutte contre les maladies animales et protection des animaux;;;117 508 029;;243 926;67 718 383;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;03;Prévention et gestion des risques sanitaires liés aux denrées alimentaires;;;15 346 896;;10 445;9 560 956;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;04;Actions transversales;;;68 424 870;;2 568 058;2 795 757;0
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;05;Elimination des cadavres et des sous-produits animaux;;;2 600 240;;;;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;06;Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation;;312 455 219;964 624;;;33 963;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;206;Sécurité et qualité sanitaires de l'alimentation;08;Qualité de l'alimentation et offre alimentaire;;;1 356 629;;;3 275 820;
