Année RAP;Type de Budget;Code Ministère au 1er janvier 2017;Ministère au 1er janvier 2017;Code Mission;Mission;Code Programme;Programme;"EXEC T2 (AE=CP)  2017
RAP 2017";"EXEC AE Hors T2  2017
RAP 2017";"EXEC CP Hors T2 2017
RAP 2017";"EXEC AE
 (T2 + Hors T2) 2017
RAP 2017";"EXEC CP
 (T2 + Hors T2) 2017
RAP 2017";"EXEC ETPT
 2017
RAP 2017"
2017;Budget général;MIN01;Affaires étrangères et développement international;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;641 872 005;1 147 758 311;1 147 075 202;1 789 630 316;1 788 947 207;7 803
2017;Budget général;MIN01;Affaires étrangères et développement international;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;234 977 703;136 546 428;136 637 642;371 524 131;371 615 345;3 327
2017;Budget général;MIN01;Affaires étrangères et développement international;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;74 271 381;596 959 677;602 142 390;671 231 058;676 413 771;790
2017;Budget général;MIN09;Intérieur;AB;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;442 735 643;480 907 992;500 767 448;923 643 635;943 503 091;6 432
2017;Budget général;MIN09;Intérieur;AB;Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;22 906 598;358 138 805;347 937 494;381 045 403;370 844 092;50
2017;Budget général;MIN09;Intérieur;AB;Administration générale et territoriale de l'État;307;Administration territoriale;1 483 417 183;242 015 172;221 858 627;1 725 432 355;1 705 275 810;25 985
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;AC;Agriculture, alimentation, forêt et affaires rurales;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;;3 328 772 778;3 357 742 318;3 328 772 778;3 357 742 318;
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;AC;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;312 455 219;321 762 766;313 045 272;634 217 985;625 500 491;4 651
2017;Budget général;MIN03;Agriculture, agroalimentaire et forêt;AC;Agriculture, alimentation, forêt et affaires rurales;215;Conduite et pilotage des politiques de l'agriculture;567 954 163;85 552 842;85 185 714;653 507 005;653 139 877;8 058
2017;Budget général;MIN07;Économie et finances;AD;Aide publique au développement;110;Aide économique et financière au développement;;2 154 082 792;931 989 405;2 154 082 792;931 989 405;
2017;Budget général;MIN01;Affaires étrangères et développement international;AD;Aide publique au développement;209;Solidarité à l'égard des pays en développement;177 265 501;1 351 790 556;1 382 906 795;1 529 056 057;1 560 172 296;1 708
2017;Budget général;MIN12;Services du Premier ministre;AV;Investissements d'avenir;421;Soutien des progrès de l'enseignement et de la recherche;;2 000 000 000;0;2 000 000 000;0;
2017;Budget général;MIN12;Services du Premier ministre;AV;Investissements d'avenir;422;Valorisation de la recherche;;880 000 000;0;880 000 000;0;
2017;Budget général;MIN12;Services du Premier ministre;AV;Investissements d'avenir;423;Accélération de la modernisation des entreprises;;2 200 000 000;0;2 200 000 000;0;
2017;Budget général;MIN12;Services du Premier ministre;CA;Conseil et contrôle de l'État;126;Conseil économique, social et environnemental;35 425 261;5 791 068;5 791 068;41 216 329;41 216 329;143
2017;Budget général;MIN12;Services du Premier ministre;CA;Conseil et contrôle de l'État;164;Cour des comptes et autres juridictions financières;187 370 134;26 485 212;27 745 668;213 855 346;215 115 802;1 763
2017;Budget général;MIN12;Services du Premier ministre;CA;Conseil et contrôle de l'État;165;Conseil d'État et autres juridictions administratives;323 115 686;77 184 875;64 931 645;400 300 561;388 047 331;3 813
2017;Budget général;MIN12;Services du Premier ministre;CA;Conseil et contrôle de l'État;340;Haut Conseil des finances publiques;357 248;4 378;4 907;361 626;362 155;2
2017;Budget général;MIN02;Culture et communication;CB;Culture;131;Création;;780 487 786;784 206 195;780 487 786;784 206 195;
2017;Budget général;MIN02;Culture et communication;CB;Culture;175;Patrimoines;;931 485 925;877 701 096;931 485 925;877 701 096;
2017;Budget général;MIN02;Culture et communication;CB;Culture;224;Transmission des savoirs et démocratisation de la culture;696 773 637;499 272 600;490 426 777;1 196 046 237;1 187 200 414;10 934
2017;Budget général;MIN70;Défense;DA;Défense;144;Environnement et prospective de la politique de défense;;1 429 203 446;1 370 203 609;1 429 203 446;1 370 203 609;
2017;Budget général;MIN70;Défense;DA;Défense;146;Équipement des forces;;11 272 497 954;10 004 533 324;11 272 497 954;10 004 533 324;
2017;Budget général;MIN70;Défense;DA;Défense;178;Préparation et emploi des forces;;8 687 036 101;8 537 256 182;8 687 036 101;8 537 256 182;
2017;Budget général;MIN70;Défense;DA;Défense;212;Soutien de la politique de la défense;20 122 277 773;2 355 593 672;2 223 765 527;22 477 871 445;22 346 043 300;267 263
2017;Budget général;MIN07;Économie et finances;DB;Économie;134;Développement des entreprises et du tourisme;395 350 009;2 108 387 315;2 179 480 378;2 503 737 324;2 574 830 387;4 929
2017;Budget général;MIN07;Économie et finances;DB;Économie;220;Statistiques et études économiques;373 389 608;79 442 856;74 801 743;452 832 464;448 191 351;5 381
